flower_name,color,petal_count,bloom_season,average_height,sunlight_requirement,watering_frequency,bloom_color,height_cm
Tate,Turquoise,42,Spring,50.58,Partial Sun,Bi-weekly,Pink,133
Raina,Indigo,81,Spring,11.5,Partial Sun,Bi-weekly,White,181
Valentina,Crimson,75,Summer,38.07,Shade,Bi-weekly,Pink,142
Milo,Fuscia,49,Summer,32.4,Partial Sun,Daily,Yellow,162
Joceline,Orange,77,Winter,12.15,Full Sun,Daily,Yellow,77
Lonnie,Blue,12,Fall,20.83,Shade,Daily,Yellow,29
Arman,Crimson,69,Fall,22.39,Partial Sun,Bi-weekly,Purple,171
Tatiana,Pink,77,Fall,59.94,Shade,Daily,Purple,14
Elvira,Maroon,61,Fall,19.6,Full Sun,Bi-weekly,Purple,145
Teresa,Orange,39,Winter,40.26,Shade,Daily,Yellow,180
Urban,Indigo,37,Fall,29.64,Full Sun,Weekly,Purple,16
Netty,Mauv,55,Winter,53.31,Partial Sun,Daily,Pink,40
Mary,Violet,81,Spring,19.61,Shade,Daily,Red,152
Tansy,Mauv,10,Summer,33.33,Shade,Weekly,Red,50
Simone,Aquamarine,86,Summer,40.05,Shade,Bi-weekly,Red,29
Kathie,Puce,79,Winter,44.94,Partial Sun,Weekly,White,155
Sloane,Green,18,Summer,26.63,Partial Sun,Daily,White,117
Marilee,Fuscia,40,Fall,20.74,Full Sun,Bi-weekly,Yellow,133
Wakefield,Pink,30,Fall,12.5,Shade,Weekly,Yellow,25
Norrie,Red,26,Spring,16.13,Full Sun,Daily,Yellow,127
Lyn,Blue,14,Winter,31.86,Partial Sun,Daily,Red,137
Drusie,Mauv,92,Fall,12.59,Full Sun,Bi-weekly,Red,20
Kelcey,Crimson,40,Fall,26.76,Partial Sun,Bi-weekly,Red,176
Melessa,Aquamarine,67,Spring,38.59,Full Sun,Bi-weekly,Purple,152
Sherill,Red,39,Summer,52.85,Shade,Weekly,Pink,51
Andre,Yellow,20,Fall,50.26,Partial Sun,Daily,Purple,27
Ely,Blue,67,Summer,58.91,Shade,Weekly,Red,107
Dun,Puce,8,Spring,56.14,Full Sun,Bi-weekly,Red,156
Rufus,Goldenrod,6,Summer,15.44,Partial Sun,Daily,White,85
Rudolfo,Maroon,72,Summer,13.02,Shade,Weekly,Red,70
Quintilla,Aquamarine,62,Fall,30.08,Shade,Bi-weekly,Red,143
Lotti,Blue,64,Spring,55.74,Partial Sun,Weekly,White,115
Blayne,Green,36,Summer,7.1,Full Sun,Weekly,Purple,122
Melodie,Turquoise,87,Summer,6.67,Shade,Weekly,Pink,75
Kelila,Maroon,73,Summer,53.42,Partial Sun,Weekly,Purple,40
Quinton,Puce,39,Spring,23.34,Shade,Weekly,Pink,76
Lorettalorna,Green,31,Summer,58.41,Partial Sun,Daily,Yellow,147
Vincent,Mauv,38,Spring,55.54,Partial Sun,Weekly,Pink,41
Kearney,Teal,38,Winter,6.27,Shade,Bi-weekly,White,42
Tamma,Violet,73,Winter,25.24,Partial Sun,Weekly,Pink,184
Meir,Aquamarine,13,Summer,49.29,Shade,Bi-weekly,White,149
Rhoda,Teal,73,Fall,41.65,Partial Sun,Bi-weekly,White,165
Krissie,Turquoise,72,Fall,26.26,Partial Sun,Daily,White,161
Doris,Crimson,41,Winter,8.64,Full Sun,Daily,Pink,150
Orsa,Yellow,43,Summer,46.17,Shade,Bi-weekly,Yellow,81
Kimble,Red,81,Summer,44.03,Shade,Daily,Red,60
Karol,Violet,92,Spring,22.86,Partial Sun,Weekly,Purple,108
Deidre,Orange,16,Winter,32.18,Shade,Daily,White,79
Kenny,Khaki,79,Summer,30.8,Shade,Daily,Pink,59
Arv,Puce,92,Fall,7.68,Shade,Weekly,Red,185
Florella,Red,60,Spring,39.67,Partial Sun,Bi-weekly,Yellow,134
Casey,Mauv,83,Winter,24.71,Full Sun,Daily,Purple,57
Amara,Khaki,86,Spring,29.51,Partial Sun,Bi-weekly,Pink,149
Jaime,Blue,5,Summer,43.81,Full Sun,Bi-weekly,White,122
Elia,Teal,55,Winter,14.73,Shade,Daily,Pink,183
Virgilio,Crimson,71,Winter,51.91,Full Sun,Weekly,Yellow,14
Diannne,Yellow,98,Summer,32.87,Partial Sun,Daily,Yellow,106
Gustave,Aquamarine,63,Fall,32.27,Full Sun,Daily,Pink,27
Torin,Green,50,Spring,47.87,Full Sun,Bi-weekly,Red,177
Karlyn,Fuscia,18,Spring,29.95,Partial Sun,Bi-weekly,Purple,100
Lyndsey,Mauv,67,Winter,51.84,Partial Sun,Daily,Purple,191
Kim,Blue,96,Spring,46.47,Shade,Daily,White,10
Natasha,Blue,21,Spring,50.18,Partial Sun,Daily,Yellow,183
Kendricks,Indigo,57,Winter,58.61,Partial Sun,Daily,Yellow,133
Lewie,Aquamarine,74,Fall,42.74,Shade,Daily,Pink,39
Teresita,Aquamarine,14,Spring,28.75,Partial Sun,Daily,Pink,63
Janifer,Green,86,Winter,20.62,Full Sun,Daily,Red,196
Brittney,Teal,29,Summer,22.69,Shade,Weekly,Pink,173
Ozzie,Red,39,Spring,17.87,Shade,Bi-weekly,Red,178
Carleton,Puce,78,Fall,13.85,Partial Sun,Daily,Purple,99
Eolanda,Green,80,Winter,13.91,Full Sun,Bi-weekly,Red,12
Timmy,Pink,26,Summer,36.08,Partial Sun,Daily,Purple,162
Stinky,Fuscia,76,Summer,59.95,Full Sun,Daily,Purple,125
Shoshanna,Fuscia,25,Fall,35.16,Shade,Bi-weekly,White,174
Ofella,Yellow,99,Summer,44.69,Shade,Weekly,Purple,40
Cloris,Orange,71,Fall,12.35,Full Sun,Daily,Red,35
Marley,Mauv,60,Fall,16.14,Partial Sun,Bi-weekly,White,148
Trenna,Khaki,8,Spring,13.33,Full Sun,Daily,White,184
Ransom,Indigo,68,Spring,11.97,Shade,Daily,Pink,29
Elsy,Purple,85,Winter,47.76,Partial Sun,Daily,White,193
Amelie,Indigo,91,Winter,24.87,Full Sun,Daily,Pink,129
Jacquenette,Khaki,88,Spring,56.09,Full Sun,Daily,White,16
Shirlee,Teal,60,Spring,9.82,Partial Sun,Weekly,Red,73
Reese,Khaki,100,Winter,54.45,Full Sun,Weekly,Red,85
Yolande,Teal,28,Winter,44.52,Full Sun,Daily,Yellow,57
Selinda,Khaki,19,Fall,24.91,Full Sun,Bi-weekly,Pink,10
Gaylor,Blue,77,Spring,8.13,Partial Sun,Daily,Pink,56
Kaylyn,Aquamarine,27,Spring,12.94,Partial Sun,Daily,Pink,40
Quinlan,Aquamarine,88,Fall,58.68,Partial Sun,Bi-weekly,Pink,24
Hunter,Yellow,83,Winter,58.24,Full Sun,Bi-weekly,White,52
Palmer,Blue,16,Winter,25.56,Full Sun,Weekly,Yellow,80
Devlin,Purple,69,Summer,27.82,Shade,Daily,Yellow,50
Marty,Red,84,Fall,32.44,Shade,Bi-weekly,Yellow,125
Briano,Fuscia,45,Fall,20.0,Partial Sun,Bi-weekly,Yellow,51
Sandra,Goldenrod,78,Fall,37.35,Shade,Weekly,Yellow,77
Sandor,Fuscia,27,Spring,17.09,Partial Sun,Daily,White,174
Hilary,Khaki,72,Summer,30.01,Partial Sun,Bi-weekly,Pink,199
Angelo,Indigo,30,Summer,15.65,Partial Sun,Bi-weekly,White,193
Cristine,Maroon,25,Winter,16.34,Full Sun,Daily,Red,76
Patricia,Aquamarine,50,Winter,7.9,Shade,Weekly,Red,97
Gianni,Teal,48,Fall,21.31,Full Sun,Daily,Pink,80
Lamar,Purple,88,Fall,20.06,Full Sun,Bi-weekly,White,19
Elvin,Puce,65,Summer,58.9,Shade,Daily,Red,103
Kinny,Blue,66,Spring,46.33,Partial Sun,Daily,White,46
Rakel,Yellow,54,Winter,33.13,Partial Sun,Weekly,Purple,110
Heidi,Purple,13,Fall,32.18,Full Sun,Daily,Yellow,187
Alan,Red,31,Winter,11.26,Partial Sun,Bi-weekly,Purple,193
Christel,Turquoise,57,Spring,8.3,Shade,Weekly,Purple,67
Claresta,Pink,66,Winter,54.53,Shade,Daily,Yellow,33
Bettina,Khaki,43,Winter,9.64,Full Sun,Bi-weekly,Pink,192
Jamaal,Puce,42,Winter,30.66,Shade,Weekly,White,105
Tim,Pink,82,Fall,19.84,Partial Sun,Daily,Pink,56
Legra,Fuscia,16,Fall,26.04,Full Sun,Bi-weekly,Pink,40
Sam,Aquamarine,67,Fall,33.23,Partial Sun,Daily,Yellow,126
Maureen,Aquamarine,20,Fall,8.8,Shade,Bi-weekly,Yellow,101
Madelyn,Teal,46,Spring,14.0,Full Sun,Weekly,Purple,182
Cletis,Green,75,Winter,55.16,Shade,Bi-weekly,Purple,44
Alicia,Maroon,43,Spring,15.95,Partial Sun,Bi-weekly,Pink,96
Darrin,Teal,72,Summer,12.26,Partial Sun,Weekly,Yellow,45
Merrie,Maroon,58,Summer,11.88,Full Sun,Bi-weekly,White,50
Rey,Teal,84,Fall,49.64,Shade,Bi-weekly,White,114
Lebbie,Puce,12,Fall,51.15,Shade,Daily,Purple,22
Rodolfo,Fuscia,50,Winter,43.78,Shade,Bi-weekly,Pink,132
Merrie,Green,11,Fall,28.8,Partial Sun,Weekly,Yellow,65
Fanny,Blue,75,Winter,39.51,Full Sun,Weekly,White,182
Gun,Fuscia,95,Fall,10.93,Shade,Bi-weekly,Red,39
Cal,Puce,85,Fall,9.59,Partial Sun,Daily,Purple,131
Marci,Maroon,68,Summer,19.37,Partial Sun,Weekly,White,44
Borden,Puce,76,Winter,48.18,Full Sun,Bi-weekly,Red,190
Maible,Fuscia,86,Winter,7.68,Full Sun,Daily,Yellow,113
Kristoforo,Crimson,23,Fall,51.58,Partial Sun,Weekly,Yellow,162
Ariella,Teal,99,Winter,51.64,Full Sun,Weekly,Pink,28
Roberta,Orange,72,Summer,43.44,Shade,Bi-weekly,Pink,180
Franchot,Mauv,44,Winter,26.98,Shade,Daily,Pink,109
Alair,Purple,100,Spring,25.01,Partial Sun,Bi-weekly,White,10
Bordie,Blue,89,Fall,35.25,Shade,Weekly,Pink,102
Dosi,Violet,45,Winter,40.12,Full Sun,Weekly,Yellow,32
Gaye,Maroon,100,Fall,34.8,Partial Sun,Daily,Purple,150
Iona,Goldenrod,80,Spring,59.22,Shade,Daily,Purple,172
Rhianon,Crimson,46,Summer,27.6,Full Sun,Daily,Purple,98
Keene,Aquamarine,54,Summer,29.24,Full Sun,Weekly,White,100
Virgie,Puce,90,Winter,8.38,Partial Sun,Weekly,Pink,174
Masha,Goldenrod,20,Spring,19.48,Partial Sun,Daily,Pink,135
Clyde,Mauv,56,Summer,18.52,Full Sun,Weekly,White,106
Foss,Khaki,11,Fall,58.45,Partial Sun,Bi-weekly,Red,187
Hedvig,Fuscia,62,Summer,38.55,Partial Sun,Weekly,Yellow,155
Neilla,Purple,22,Summer,14.43,Partial Sun,Bi-weekly,Red,128
Yankee,Teal,15,Spring,56.86,Partial Sun,Weekly,Yellow,54
Dix,Red,22,Spring,9.94,Full Sun,Weekly,Red,66
Arlina,Goldenrod,40,Summer,17.54,Shade,Daily,White,191
Sula,Green,79,Spring,54.22,Shade,Bi-weekly,Red,25
Bay,Goldenrod,38,Summer,29.89,Partial Sun,Daily,Yellow,94
Oswald,Green,18,Winter,36.67,Shade,Weekly,Purple,143
Brent,Teal,15,Winter,11.7,Full Sun,Weekly,Yellow,68
Addie,Orange,6,Spring,56.18,Partial Sun,Weekly,Pink,173
Anastasia,Aquamarine,36,Fall,35.81,Partial Sun,Bi-weekly,Yellow,61
Artur,Mauv,8,Summer,38.31,Full Sun,Bi-weekly,Yellow,163
Hayes,Mauv,37,Summer,51.92,Shade,Weekly,Pink,172
Claude,Blue,39,Summer,28.56,Shade,Bi-weekly,Red,42
Prue,Teal,34,Spring,59.14,Shade,Bi-weekly,White,100
Sherrie,Khaki,41,Fall,15.5,Full Sun,Bi-weekly,Purple,167
Terrill,Crimson,11,Fall,22.56,Full Sun,Weekly,White,27
Terra,Teal,65,Summer,16.12,Full Sun,Daily,Yellow,174
Schuyler,Violet,53,Winter,35.93,Shade,Daily,Yellow,19
Shandra,Red,22,Summer,31.8,Shade,Daily,White,198
Elberta,Teal,16,Winter,6.99,Partial Sun,Weekly,Red,141
Andriette,Violet,39,Summer,32.23,Shade,Bi-weekly,Red,139
Dieter,Aquamarine,36,Winter,16.52,Full Sun,Daily,White,107
Audrie,Red,35,Summer,22.88,Full Sun,Daily,White,38
Laird,Pink,16,Winter,16.07,Partial Sun,Daily,White,121
Humbert,Crimson,36,Summer,16.72,Full Sun,Bi-weekly,Red,51
Colin,Yellow,13,Spring,38.56,Partial Sun,Daily,Red,111
Lamont,Fuscia,6,Spring,10.8,Full Sun,Daily,White,80
Raquel,Orange,58,Winter,20.22,Full Sun,Bi-weekly,Red,163
Dionysus,Violet,15,Fall,40.58,Full Sun,Bi-weekly,Yellow,146
Cosette,Maroon,45,Fall,15.11,Shade,Daily,Yellow,146
Kaine,Red,57,Summer,50.98,Full Sun,Weekly,Pink,168
Valera,Goldenrod,33,Winter,14.13,Partial Sun,Daily,Pink,37
Rafi,Khaki,29,Winter,56.22,Shade,Weekly,Yellow,140
Michael,Crimson,58,Fall,59.15,Shade,Weekly,Purple,107
Vachel,Violet,79,Fall,50.6,Partial Sun,Weekly,Pink,84
Archibold,Orange,53,Fall,16.28,Partial Sun,Weekly,Yellow,168
Pyotr,Teal,77,Spring,23.33,Partial Sun,Weekly,White,60
Elke,Purple,72,Summer,6.84,Shade,Bi-weekly,Purple,88
Ashbey,Puce,73,Winter,57.25,Shade,Weekly,White,104
Reggis,Puce,22,Summer,53.35,Partial Sun,Bi-weekly,Red,116
Davin,Puce,74,Spring,48.45,Partial Sun,Weekly,Yellow,67
Ezequiel,Red,41,Spring,54.26,Shade,Bi-weekly,Red,141
Kippar,Yellow,92,Summer,58.75,Shade,Weekly,Purple,23
Brigit,Crimson,10,Winter,18.19,Shade,Weekly,Yellow,98
Roslyn,Yellow,96,Fall,36.85,Partial Sun,Bi-weekly,Red,28
Lani,Goldenrod,39,Summer,43.31,Shade,Daily,Pink,77
Davita,Crimson,94,Winter,56.56,Partial Sun,Bi-weekly,Yellow,163
Ginger,Violet,79,Spring,35.5,Partial Sun,Daily,Yellow,42
Geri,Fuscia,29,Summer,12.52,Partial Sun,Daily,Red,75
Fern,Puce,73,Winter,51.94,Full Sun,Bi-weekly,Pink,168
Modesta,Maroon,44,Summer,34.06,Partial Sun,Weekly,Red,74
Tammy,Turquoise,9,Winter,36.84,Shade,Daily,Red,132
Foster,Orange,72,Spring,29.94,Partial Sun,Weekly,Red,104
Carmelia,Pink,28,Fall,35.92,Partial Sun,Weekly,White,47
Michael,Violet,33,Summer,17.18,Shade,Bi-weekly,Purple,147
Gloriane,Green,38,Fall,47.82,Shade,Weekly,Red,47
Aleta,Goldenrod,74,Summer,17.59,Full Sun,Bi-weekly,Red,25
Pinchas,Pink,73,Winter,15.82,Full Sun,Bi-weekly,Purple,132
Loutitia,Teal,32,Winter,43.54,Full Sun,Weekly,Purple,101
Darb,Orange,32,Spring,44.36,Shade,Weekly,White,24
Olin,Aquamarine,48,Winter,42.36,Partial Sun,Weekly,White,175
Elston,Aquamarine,27,Spring,32.82,Shade,Bi-weekly,Purple,53
Hope,Green,59,Winter,6.93,Partial Sun,Daily,Red,64
Janel,Yellow,53,Winter,24.41,Full Sun,Daily,White,130
Nikolas,Green,86,Fall,21.87,Full Sun,Daily,White,146
Christy,Fuscia,79,Fall,54.66,Full Sun,Bi-weekly,Pink,114
Kalie,Crimson,15,Spring,45.74,Partial Sun,Daily,Pink,135
Eugenio,Red,34,Spring,36.9,Shade,Daily,White,66
Gwynne,Maroon,22,Winter,48.16,Full Sun,Daily,Purple,84
Larine,Puce,96,Winter,42.85,Partial Sun,Daily,Yellow,175
Catriona,Blue,71,Summer,52.98,Full Sun,Bi-weekly,Pink,17
Lamond,Aquamarine,89,Spring,59.24,Shade,Weekly,Yellow,100
Mariette,Blue,73,Winter,31.31,Full Sun,Weekly,Purple,198
Dirk,Crimson,25,Fall,18.34,Full Sun,Daily,Purple,87
Rona,Maroon,41,Winter,55.35,Shade,Weekly,Pink,118
Vickie,Green,75,Summer,59.13,Shade,Daily,Purple,77
Jermayne,Violet,51,Fall,55.31,Full Sun,Daily,Yellow,128
Tracy,Teal,54,Summer,17.99,Partial Sun,Daily,Purple,14
Nicholas,Blue,33,Spring,30.0,Full Sun,Weekly,Pink,129
Aubree,Purple,12,Summer,54.59,Full Sun,Daily,White,166
Cherlyn,Turquoise,81,Winter,56.3,Full Sun,Daily,Yellow,83
Rouvin,Maroon,29,Spring,15.67,Partial Sun,Daily,Red,66
Maribelle,Pink,67,Winter,59.5,Full Sun,Bi-weekly,Red,196
Virgie,Orange,77,Fall,7.65,Full Sun,Weekly,Pink,172
Elisa,Violet,85,Summer,38.27,Partial Sun,Bi-weekly,Red,121
Darline,Blue,87,Summer,51.52,Shade,Weekly,Yellow,173
Janel,Goldenrod,36,Summer,19.88,Shade,Weekly,Pink,80
Fanya,Aquamarine,100,Fall,21.77,Partial Sun,Bi-weekly,White,144
Holly,Aquamarine,92,Winter,47.41,Full Sun,Daily,White,19
Corbie,Turquoise,37,Winter,40.37,Full Sun,Bi-weekly,Pink,154
Kendre,Teal,42,Winter,29.48,Full Sun,Daily,Red,46
Mile,Red,74,Spring,19.44,Shade,Daily,Purple,48
Eudora,Pink,65,Fall,40.81,Full Sun,Weekly,Purple,125
Den,Mauv,90,Fall,30.26,Full Sun,Bi-weekly,Pink,66
Kristofer,Khaki,54,Winter,32.41,Shade,Bi-weekly,Pink,192
Kamila,Teal,10,Spring,47.32,Shade,Weekly,Pink,64
Sully,Khaki,50,Summer,54.06,Shade,Bi-weekly,Pink,38
Brandais,Purple,97,Winter,16.61,Full Sun,Bi-weekly,Yellow,81
Manolo,Aquamarine,92,Summer,49.15,Shade,Weekly,Red,117
Caye,Fuscia,87,Spring,54.7,Partial Sun,Weekly,Purple,30
Anna-maria,Teal,70,Spring,8.0,Shade,Weekly,Purple,31
Carolina,Yellow,21,Fall,47.76,Partial Sun,Weekly,Purple,136
Brenna,Blue,59,Winter,58.58,Full Sun,Bi-weekly,Red,135
Gertie,Turquoise,37,Spring,46.18,Partial Sun,Weekly,Pink,148
Doralia,Red,24,Spring,35.06,Full Sun,Daily,White,79
Caddric,Yellow,70,Spring,34.33,Shade,Bi-weekly,Yellow,200
Ulises,Puce,33,Summer,19.97,Shade,Bi-weekly,Red,54
Analiese,Turquoise,13,Spring,10.69,Partial Sun,Daily,Purple,84
Stevana,Turquoise,100,Spring,48.75,Shade,Bi-weekly,White,168
Charmine,Pink,82,Fall,7.1,Full Sun,Bi-weekly,Red,167
Udell,Maroon,92,Spring,18.13,Full Sun,Bi-weekly,White,94
Henrie,Aquamarine,72,Winter,57.4,Full Sun,Weekly,Purple,99
Grethel,Goldenrod,74,Summer,14.28,Shade,Daily,Pink,164
Dolf,Goldenrod,33,Summer,9.04,Full Sun,Daily,Red,189
Inna,Mauv,46,Winter,47.86,Full Sun,Bi-weekly,Yellow,146
Aloysia,Turquoise,86,Summer,8.04,Full Sun,Daily,Pink,26
Arabela,Pink,6,Spring,32.8,Full Sun,Daily,Purple,127
Randal,Fuscia,71,Winter,19.0,Shade,Bi-weekly,Purple,20
Elyn,Khaki,61,Summer,51.01,Full Sun,Daily,White,66
Alethea,Aquamarine,79,Summer,13.59,Shade,Bi-weekly,White,181
Milena,Yellow,56,Spring,43.79,Partial Sun,Daily,Yellow,25
Catherine,Teal,47,Winter,13.63,Full Sun,Daily,White,199
Wallis,Blue,49,Fall,50.4,Shade,Bi-weekly,Red,127
Carmen,Goldenrod,62,Fall,12.21,Full Sun,Daily,Purple,94
Theobald,Khaki,31,Spring,24.15,Shade,Weekly,Purple,78
Doll,Indigo,37,Fall,16.28,Full Sun,Weekly,Yellow,101
Jaynell,Goldenrod,87,Fall,51.9,Full Sun,Bi-weekly,Pink,166
Perl,Violet,74,Winter,28.63,Full Sun,Bi-weekly,Red,56
Silvanus,Purple,51,Summer,34.35,Partial Sun,Daily,Red,104
Shaughn,Puce,61,Winter,52.28,Shade,Daily,White,45
Minni,Khaki,97,Summer,48.19,Full Sun,Bi-weekly,Red,13
Virge,Fuscia,75,Fall,58.46,Full Sun,Weekly,Purple,104
Herc,Khaki,77,Winter,10.16,Full Sun,Weekly,Purple,101
Morly,Crimson,90,Summer,6.95,Shade,Weekly,Purple,188
Shandeigh,Mauv,21,Summer,50.78,Partial Sun,Daily,Yellow,22
Mavis,Red,80,Winter,21.64,Full Sun,Daily,White,40
Missy,Red,27,Winter,16.09,Full Sun,Bi-weekly,Yellow,65
Xymenes,Pink,23,Summer,55.49,Full Sun,Daily,White,107
Niels,Crimson,97,Spring,38.34,Shade,Daily,White,71
Adelheid,Crimson,78,Summer,48.78,Partial Sun,Bi-weekly,Pink,81
Whitby,Blue,69,Fall,37.04,Shade,Daily,Yellow,31
Peyton,Maroon,90,Summer,35.57,Full Sun,Bi-weekly,Yellow,179
Webb,Aquamarine,57,Summer,15.07,Full Sun,Weekly,Red,44
Lynnell,Maroon,72,Spring,39.48,Full Sun,Weekly,White,59
Minetta,Purple,42,Summer,14.97,Full Sun,Weekly,White,163
Zulema,Indigo,99,Winter,17.29,Partial Sun,Daily,White,122
Allyce,Fuscia,60,Fall,54.69,Full Sun,Weekly,Red,134
Muffin,Yellow,16,Summer,38.85,Shade,Daily,Yellow,189
Carlyle,Turquoise,85,Winter,10.55,Partial Sun,Weekly,Purple,27
Lincoln,Violet,86,Winter,29.35,Shade,Daily,Pink,183
Kati,Khaki,85,Spring,27.47,Full Sun,Daily,Red,148
Yorgos,Teal,17,Spring,12.77,Partial Sun,Weekly,Pink,102
Nels,Violet,18,Spring,41.86,Partial Sun,Weekly,Red,131
Brianna,Khaki,72,Summer,11.31,Full Sun,Daily,Red,107
Jarid,Fuscia,44,Spring,6.49,Partial Sun,Daily,Purple,30
Elysia,Green,47,Winter,36.33,Partial Sun,Bi-weekly,Pink,118
Sileas,Violet,41,Fall,58.16,Partial Sun,Bi-weekly,White,114
Ase,Turquoise,94,Fall,6.77,Shade,Daily,Red,48
Maud,Teal,22,Winter,28.1,Partial Sun,Bi-weekly,Yellow,45
Kassey,Fuscia,55,Spring,44.42,Full Sun,Weekly,Purple,198
Diena,Orange,84,Summer,7.02,Full Sun,Daily,White,72
Ferdinand,Turquoise,34,Winter,20.5,Partial Sun,Bi-weekly,Red,144
Madelin,Fuscia,100,Fall,50.25,Full Sun,Daily,White,45
Daron,Khaki,92,Fall,10.44,Partial Sun,Bi-weekly,White,13
Almire,Khaki,92,Fall,58.81,Partial Sun,Bi-weekly,Pink,91
Sharyl,Aquamarine,66,Fall,33.04,Partial Sun,Bi-weekly,Pink,87
Rainer,Aquamarine,92,Spring,52.63,Partial Sun,Bi-weekly,White,168
Elga,Pink,52,Fall,31.69,Shade,Bi-weekly,Purple,172
Murvyn,Red,54,Spring,51.8,Shade,Daily,White,129
Dara,Goldenrod,79,Fall,30.3,Partial Sun,Bi-weekly,Yellow,93
Cindi,Crimson,70,Fall,57.53,Shade,Weekly,Red,73
Stavros,Maroon,62,Fall,39.32,Shade,Weekly,Purple,133
Jocelin,Puce,90,Winter,8.28,Shade,Weekly,Yellow,119
Karl,Pink,22,Spring,17.57,Full Sun,Weekly,Purple,173
Gustave,Yellow,51,Summer,54.05,Full Sun,Bi-weekly,Pink,13
Moore,Goldenrod,18,Summer,56.0,Partial Sun,Weekly,Purple,61
Ulrike,Pink,10,Winter,42.65,Full Sun,Bi-weekly,Pink,137
Constantine,Turquoise,89,Spring,26.24,Shade,Bi-weekly,Pink,199
Elset,Violet,93,Fall,7.1,Partial Sun,Weekly,Yellow,21
Antoni,Goldenrod,35,Fall,46.55,Shade,Weekly,White,80
Suzie,Pink,13,Winter,44.05,Partial Sun,Daily,White,110
Bailie,Orange,85,Summer,47.34,Full Sun,Daily,Pink,164
Corinna,Khaki,26,Winter,31.94,Shade,Daily,Red,36
Lester,Turquoise,65,Fall,31.61,Full Sun,Bi-weekly,Pink,136
Carson,Crimson,7,Summer,43.42,Shade,Bi-weekly,Purple,34
Sallyann,Khaki,100,Fall,9.26,Partial Sun,Daily,White,123
Caprice,Aquamarine,38,Spring,24.63,Partial Sun,Daily,Red,94
Erinn,Maroon,95,Winter,49.77,Shade,Daily,Red,102
Christophe,Red,48,Fall,47.38,Partial Sun,Bi-weekly,Red,43
Packston,Aquamarine,82,Winter,35.57,Partial Sun,Bi-weekly,Purple,166
Delora,Goldenrod,73,Spring,34.97,Shade,Bi-weekly,Pink,72
Tamma,Khaki,31,Winter,16.66,Full Sun,Bi-weekly,White,12
Teriann,Puce,79,Fall,47.92,Shade,Bi-weekly,Pink,11
Phyllys,Crimson,59,Summer,24.74,Shade,Weekly,White,59
Cosimo,Turquoise,33,Fall,25.86,Partial Sun,Bi-weekly,White,159
Rosemonde,Goldenrod,9,Spring,10.84,Full Sun,Weekly,Yellow,193
Darell,Pink,99,Spring,45.8,Shade,Bi-weekly,Yellow,189
Susie,Fuscia,78,Summer,46.37,Full Sun,Daily,Yellow,11
Bevvy,Teal,89,Winter,21.36,Full Sun,Daily,White,127
Glendon,Indigo,49,Winter,21.64,Shade,Weekly,Yellow,31
Carlotta,Orange,28,Summer,16.71,Partial Sun,Daily,Yellow,145
Zora,Maroon,6,Spring,30.73,Shade,Weekly,Yellow,23
Tasia,Red,27,Spring,22.0,Partial Sun,Weekly,Yellow,54
Chaddie,Blue,99,Spring,31.75,Shade,Weekly,Purple,15
Armstrong,Orange,40,Winter,19.82,Full Sun,Weekly,Purple,131
Lucian,Mauv,45,Summer,21.89,Shade,Daily,White,166
Karna,Turquoise,74,Spring,29.94,Shade,Bi-weekly,Red,169
Janeta,Green,10,Fall,19.4,Shade,Weekly,Yellow,28
Reginald,Pink,40,Summer,49.43,Partial Sun,Bi-weekly,Pink,106
Fair,Maroon,36,Summer,10.63,Partial Sun,Weekly,Red,176
Jacynth,Pink,15,Spring,41.34,Partial Sun,Bi-weekly,Yellow,102
Nikoletta,Crimson,32,Spring,39.79,Partial Sun,Weekly,Yellow,14
Gerry,Violet,60,Winter,42.97,Full Sun,Bi-weekly,Red,102
Ashly,Yellow,97,Summer,32.7,Full Sun,Weekly,Yellow,25
Jeramie,Blue,30,Fall,39.39,Full Sun,Daily,Yellow,199
Raynor,Fuscia,73,Summer,31.86,Partial Sun,Weekly,Yellow,173
Thor,Crimson,20,Summer,17.88,Shade,Weekly,White,107
Gladys,Mauv,40,Summer,55.39,Partial Sun,Weekly,Yellow,18
Luz,Purple,86,Fall,15.87,Full Sun,Weekly,Pink,172
Lian,Aquamarine,48,Summer,41.62,Shade,Bi-weekly,Yellow,34
Rochester,Blue,52,Fall,55.05,Full Sun,Bi-weekly,Red,146
Aldon,Maroon,98,Summer,40.22,Full Sun,Bi-weekly,Pink,149
Andrei,Violet,33,Fall,40.75,Shade,Weekly,Pink,53
Hetty,Turquoise,80,Spring,33.32,Full Sun,Weekly,White,10
Lilith,Crimson,52,Summer,10.74,Shade,Daily,White,26
Elsinore,Violet,23,Winter,33.06,Shade,Weekly,Purple,19
Eveleen,Red,9,Summer,51.54,Shade,Weekly,Purple,70
Jodee,Blue,45,Spring,31.06,Full Sun,Weekly,Yellow,70
Xaviera,Teal,91,Spring,13.99,Full Sun,Bi-weekly,Purple,177
Gawen,Goldenrod,74,Summer,30.54,Shade,Daily,Purple,22
Agretha,Fuscia,22,Winter,51.89,Partial Sun,Weekly,White,180
Waldo,Aquamarine,86,Spring,19.39,Full Sun,Bi-weekly,Pink,71
Chrisse,Khaki,90,Fall,7.26,Full Sun,Weekly,Pink,192
Valry,Goldenrod,74,Summer,19.05,Partial Sun,Bi-weekly,White,140
